----------------------------------------------------------------------------------------------------
Loaded from: mnist_q.pth
----------------------------------------------------------------------------------------------------
BASELINE
Test set: Average loss: 0.0503, Accuracy: 9856/10000 (99%)
MnistNetwork(
  (conv1): Conv2d(1, 10, kernel_size=(5, 5), stride=(1, 1))
  (conv2): Conv2d(10, 20, kernel_size=(5, 5), stride=(1, 1))
  (conv2_drop): Dropout2d(p=0.5)
  (fc1): Linear(in_features=320, out_features=50, bias=True)
  (fc2): Linear(in_features=50, out_features=10, bias=True)
)
FLOPS: 935040.0
Episode: 11 | Iteration: 8 | Acc.: 0.5076 | FLOPS: 281408.0
Episode: 11 | Iteration: 9 | Acc.: 0.5997 | FLOPS: 281408.0
Episode: 12 | Iteration: 0 | Acc.: 0.8245 | FLOPS: 468160.0
Episode: 12 | Iteration: 1 | Acc.: 0.7983 | FLOPS: 281408.0
Episode: 12 | Iteration: 2 | Acc.: 0.9311 | FLOPS: 468160.0
Episode: 12 | Iteration: 3 | Acc.: 0.9074 | FLOPS: 748288.0
Episode: 12 | Iteration: 4 | Acc.: 0.9183 | FLOPS: 561536.0
Episode: 12 | Iteration: 5 | Acc.: 0.8019 | FLOPS: 468160.0
Episode: 12 | Iteration: 6 | Acc.: 0.9012 | FLOPS: 468160.0
Episode: 12 | Iteration: 7 | Acc.: 0.846 | FLOPS: 374784.0
Episode: 12 | Iteration: 8 | Acc.: 0.9197 | FLOPS: 468160.0
Episode: 12 | Iteration: 9 | Acc.: 0.3568 | FLOPS: 468160.0
Episode: 13 | Iteration: 0 | Acc.: 0.8007 | FLOPS: 374784.0
Episode: 13 | Iteration: 1 | Acc.: 0.8977 | FLOPS: 748288.0
Episode: 13 | Iteration: 2 | Acc.: 0.9629 | FLOPS: 654912.0
Episode: 13 | Iteration: 3 | Acc.: 0.8969 | FLOPS: 468160.0
Episode: 13 | Iteration: 4 | Acc.: 0.8694 | FLOPS: 468160.0
Episode: 13 | Iteration: 5 | Acc.: 0.7796 | FLOPS: 561536.0
Episode: 13 | Iteration: 6 | Acc.: 0.8598 | FLOPS: 281408.0
Episode: 13 | Iteration: 7 | Acc.: 0.929 | FLOPS: 561536.0
Episode: 13 | Iteration: 8 | Acc.: 0.8542 | FLOPS: 468160.0
Episode: 13 | Iteration: 9 | Acc.: 0.9772 | FLOPS: 841664.0
